review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000002,ORD-20251022-146525,CUST-10178,REST-DXB-001,Mediocre. Butter Chicken  Malai Kofta  and Paneer Butter Masala were fine but forgettable. Malai Kofta didn't stand out.,3,2025-10-23T21:06:59.204298
REV-000001,ORD-20251022-800356,CUST-10490,REST-AUH-002,Absolutely amazing Chicken Seekh Kebab  Chicken Biryani  Fresh Lime Soda  and Chicken Tikka Masala! The Fresh Lime Soda was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-10-25T12:36:44.204298
REV-000004,ORD-20251023-971383,CUST-10087,REST-SHJ-001,Great food overall. Fresh Lime Soda  Naan  Samosa (2 pcs)  Aloo Tikki Chaat  and Lamb Rogan Josh were tasty  especially the Lamb Rogan Josh. Would order again!,4,2025-10-27T18:18:22.204298
REV-000005,ORD-20251024-933523,CUST-10468,REST-AUH-001,Outstanding experience! The Garlic Naan exceeded all expectations. Garlic Naan was the star of the meal. Will definitely order again!,5,2025-10-28T14:33:44.204298
REV-000003,ORD-20251023-800686,CUST-10117,REST-AUH-002,Absolutely amazing Jeera Rice  Rasmalai (2 pcs)  and Sweet Lassi! The Sweet Lassi was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-10-30T10:25:06.204298
REV-000011,ORD-20251030-463660,CUST-10021,REST-SHJ-001,Best Indian food in UAE! Masala Chai  Gulab Jamun (2 pcs)  Malai Kofta  and Fresh Lime Soda were incredible. Fresh Lime Soda had the perfect balance of spices. Five stars!,5,2025-10-31T13:30:40.204298
REV-000006,ORD-20251027-162618,CUST-10182,REST-AUH-002,Not bad  not great. Samosa (2 pcs) were edible. Samosa (2 pcs) needed more seasoning.,3,2025-10-31T16:54:39.204298
REV-000009,ORD-20251028-886174,CUST-10446,REST-SHJ-001,Not bad  not great. Fish Curry  Gulab Jamun (2 pcs)  Vegetable Biryani  Paneer Butter Masala  and Masala Chai were edible. Vegetable Biryani needed more seasoning.,3,2025-11-01T16:36:22.204298
REV-000007,ORD-20251027-930490,CUST-10483,REST-AUH-002,Absolutely amazing Chole Bhature  Naan  Mango Lassi  Malai Kofta  and Masala Chai! The Mango Lassi was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-01T21:05:37.204298
REV-000008,ORD-20251028-231574,CUST-10443,REST-SHJ-001,Wow! Just wow! Aloo Tikki Chaat  Butter Chicken  Fresh Lime Soda  and Tandoori Roti were all fantastic. Butter Chicken was particularly memorable. Can't wait to order again!,5,2025-11-02T12:41:26.204298
