order_id,timestamp,restaurant_id,customer_id,order_type,items,total_amount,payment_method,order_status
ORD-20251020-722308,2025-10-20T10:03:10.204298,REST-AUH-001,CUST-10222,delivery,"[{""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 3, ""unit_price"": 20.3, ""subtotal"": 60.9}, {""item_id"": ""ITEM-401"", ""name"": ""Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 7.91, ""subtotal"": 23.73}, {""item_id"": ""ITEM-404"", ""name"": ""Tandoori Roti"", ""category"": ""Bread"", ""quantity"": 2, ""unit_price"": 5.74, ""subtotal"": 11.48}, {""item_id"": ""ITEM-602"", ""name"": ""Mango Lassi"", ""category"": ""Beverage"", ""quantity"": 2, ""unit_price"": 18.71, ""subtotal"": 37.42}]",133.53,card,completed
ORD-20251020-382126,2025-10-20T10:03:13.204298,REST-AUH-002,CUST-10472,dine_in,"[{""item_id"": ""ITEM-602"", ""name"": ""Mango Lassi"", ""category"": ""Beverage"", ""quantity"": 1, ""unit_price"": 17.5, ""subtotal"": 17.5}, {""item_id"": ""ITEM-301"", ""name"": ""Butter Chicken"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 52.14, ""subtotal"": 104.28}, {""item_id"": ""ITEM-305"", ""name"": ""Chicken Biryani"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 49.26, ""subtotal"": 147.78}, {""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 1, ""unit_price"": 17.31, ""subtotal"": 17.31}, {""item_id"": ""ITEM-406"", ""name"": ""Vegetable Biryani"", ""category"": ""Rice"", ""quantity"": 2, ""unit_price"": 41.29, ""subtotal"": 82.58}]",369.45,wallet,delivered
ORD-20251020-269087,2025-10-20T10:37:21.204298,REST-DXB-001,CUST-10101,dine_in,"[{""item_id"": ""ITEM-502"", ""name"": ""Rasmalai (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 18.43, ""subtotal"": 18.43}, {""item_id"": ""ITEM-302"", ""name"": ""Chicken Tikka Masala"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 51.22, ""subtotal"": 51.22}]",69.65,wallet,completed
ORD-20251020-331892,2025-10-20T10:37:25.204298,REST-AUH-002,CUST-10004,dine_in,"[{""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 19.41, ""subtotal"": 19.41}, {""item_id"": ""ITEM-301"", ""name"": ""Butter Chicken"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 52.14, ""subtotal"": 104.28}, {""item_id"": ""ITEM-302"", ""name"": ""Chicken Tikka Masala"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 51.02, ""subtotal"": 102.04}, {""item_id"": ""ITEM-501"", ""name"": ""Gulab Jamun (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 3, ""unit_price"": 15.19, ""subtotal"": 45.57}, {""item_id"": ""ITEM-303"", ""name"": ""Lamb Rogan Josh"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 67.85, ""subtotal"": 203.55}]",474.85,card,completed
ORD-20251020-897280,2025-10-20T10:39:06.204298,REST-DXB-002,CUST-10435,dine_in,"[{""item_id"": ""ITEM-401"", ""name"": ""Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 7.65, ""subtotal"": 22.95}]",22.95,wallet,completed
ORD-20251020-210300,2025-10-20T10:41:47.204298,REST-AUH-002,CUST-10356,delivery,"[{""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 2, ""unit_price"": 19.41, ""subtotal"": 38.82}]",38.82,card,delivered
ORD-20251020-276108,2025-10-20T11:15:45.204298,REST-DXB-002,CUST-10119,takeaway,"[{""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 17.51, ""subtotal"": 52.53}, {""item_id"": ""ITEM-105"", ""name"": ""Chicken Seekh Kebab"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 43.56, ""subtotal"": 43.56}, {""item_id"": ""ITEM-604"", ""name"": ""Fresh Lime Soda"", ""category"": ""Beverage"", ""quantity"": 3, ""unit_price"": 11.47, ""subtotal"": 34.41}, {""item_id"": ""ITEM-406"", ""name"": ""Vegetable Biryani"", ""category"": ""Rice"", ""quantity"": 2, ""unit_price"": 43.55, ""subtotal"": 87.1}, {""item_id"": ""ITEM-305"", ""name"": ""Chicken Biryani"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 47.55, ""subtotal"": 95.1}]",312.7,wallet,delivered
ORD-20251020-965101,2025-10-20T11:45:17.204298,REST-AUH-001,CUST-10048,takeaway,"[{""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 3, ""unit_price"": 17.77, ""subtotal"": 53.31}, {""item_id"": ""ITEM-205"", ""name"": ""Chole Bhature"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 41.38, ""subtotal"": 82.76}, {""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 18.79, ""subtotal"": 37.58}, {""item_id"": ""ITEM-502"", ""name"": ""Rasmalai (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 18.63, ""subtotal"": 18.63}, {""item_id"": ""ITEM-602"", ""name"": ""Mango Lassi"", ""category"": ""Beverage"", ""quantity"": 2, ""unit_price"": 18.71, ""subtotal"": 37.42}]",229.7,wallet,delivered
ORD-20251020-968336,2025-10-20T12:05:51.204298,REST-AUH-001,CUST-10185,delivery,"[{""item_id"": ""ITEM-303"", ""name"": ""Lamb Rogan Josh"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 65.65, ""subtotal"": 65.65}, {""item_id"": ""ITEM-404"", ""name"": ""Tandoori Roti"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 5.74, ""subtotal"": 17.22}]",82.87,wallet,completed
ORD-20251020-162853,2025-10-20T12:31:45.204298,REST-DXB-002,CUST-10306,delivery,"[{""item_id"": ""ITEM-501"", ""name"": ""Gulab Jamun (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 3, ""unit_price"": 15.71, ""subtotal"": 47.13}, {""item_id"": ""ITEM-202"", ""name"": ""Dal Makhani"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 38.66, ""subtotal"": 38.66}, {""item_id"": ""ITEM-104"", ""name"": ""Aloo Tikki Chaat"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 21.56, ""subtotal"": 43.12}]",128.91,card,completed
